site_id,site_name,tid
66,"Tryptase alpha/beta-1, Trypsin domain",100795
67,"Carbonic anhydrase, Pro_CA domain",100954
68,"Egl nine homolog 3, 2OG-FeII_Oxy_3 domain",101510
69,"Hemagglutinin, Hemagglutinin domain",104401
70,"D-alanyl-D-alanine carboxypeptidase, Peptidase_S13 domain",102386
71,"Lysine-specific histone demethylase 1, Amino_oxidase domain",102439
72,"Acyl-CoA:cholesterol acyltransferase, MBOAT domain",102444
73,"5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase, PNP_UDP_1 domain",102973
74,"Cathepsin D, Asp domain",10003
75,"Cellular retinoic acid-binding protein I, Lipocalin domain",10354
76,"Serotonin 5a (5-HT5a) receptor, 7tm_1 domain",10625
77,"Subtilisin/kexin type 7, Peptidase_S8 domain",11126
78,"Prenyl protein specific protease, Abi domain",11293
79,"Carboxylesterase, COesterase domain",11632
80,"Neuronal acetylcholine receptor protein alpha-7 subunit, Neur_chan_LBD domain",11749
81,"Sphingosine 1-phosphate receptor Edg-8, 7tm_1 domain",12023
82,"Phenylethanolamine N-methyltransferase, NNMT_PNMT_TEMT domain",12229
83,"Matrix metalloproteinase 9, Peptidase_M10 domain",12295
84,"Aldose reductase, Aldo_ket_red domain",12543
85,"Muscarinic acetylcholine receptor M3, 7tm_1 domain",12566
86,"Tyrosine-protein kinase TIE-2, Pkinase_Tyr domain",12913
87,"Phosphodiesterase 1A, PDEase_I domain",13049
88,"Sodium channel protein type VIII alpha subunit, Ion_trans domain",18079
89,"Ephrin type-A receptor 2, Pkinase_Tyr domain",30008
90,"Serine/threonine-protein kinase NEK2, Pkinase domain",30017
91,"Chitinase, Glyco_hydro_18 domain",100326
92,"ALK tyrosine kinase receptor, Pkinase_Tyr domain",100417
94,"DNA polymerase lambda, DNA_pol_lambd_f domain",100934
95,"Heat shock 70 kDa protein 1, HSP70 domain",100986
96,"Muscle, skeletal receptor tyrosine protein kinase, Pkinase_Tyr domain",101282
97,"Monoglyceride lipase, Hydrolase_4 domain",101322
98,"Solute carrier family 22 member 6, Sugar_tr domain",103829
99,"Type-1 angiotensin II receptor, 7tm_1 domain",103900
101,"Arginase-2, mitochondrial, Arginase domain",104228
102,"Shikimate kinase, SKI domain",102617
103,"Indoleamine 2,3-dioxygenase 1, IDO domain",102845
104,"LmbE-related protein, PIG-L domain",102875
105,"Prostanoid EP3 receptor, 7tm_1 domain",102416
106,"Epidermal growth factor receptor erbB1, Pkinase_Tyr domain",9
107,"Vitamin D receptor, Hormone_recep domain",64
108,"Kappa opioid receptor, 7tm_1 domain",137
109,"Platelet activating factor receptor, 7tm_1 domain",10014
110,"Estrogen-related receptor alpha, Hormone_recep domain",10133
111,"Cathepsin B , Peptidase_C1 domain",10378
112,"Neuropeptide Y receptor type 1, 7tm_1 domain",10475
113,"Ribosomal protein S6 kinase alpha 5, Pkinase domain",10850
114,"Neurotensin receptor 2, 7tm_1 domain",10486
115,"Cathepsin K, Peptidase_C1 domain",10495
116,"Vascular endothelial growth factor receptor 1, Pkinase_Tyr domain",10979
117,"FK506 binding protein 4, FKBP_C domain",11751
118,"Glutamate receptor ionotropic kainate 1, ANF_receptor domain",12376
119,"Cyclooxygenase-1, An_peroxidase domain",12478
120,"Histone deacetylase 1, Hist_deacetyl domain",12488
121,"Sodium channel protein type X alpha subunit, Ion_trans domain",12545
122,"Protein kinase C gamma, Pkinase domain",12635
123,"Tyrosine-protein kinase YES, Pkinase_Tyr domain",18033
124,"Phospholipase A2 isozyme PLA-A, Phospholip_A2_1 domain",20115
125,"Cytochrome P450 monooxygenase, p450 domain",100574
126,"CpG DNA methylase, DNA_methylase domain",100640
127,"Tyrosine-protein kinase V-ABL, Pkinase_Tyr domain",100107
128,"Ephrin type-B receptor 4, Pkinase_Tyr domain",100129
129,"Arylsulfatase, Sulfatase domain",101346
130,"Ceramide glucosyltransferase, Glyco_transf_21 domain",101418
131,"RAC-alpha serine/threonine-protein kinase, Pkinase domain",101582
132,"Peptide deformylase, Pep_deformylase domain",103850
133,"Papain, Peptidase_C1 domain",10436
134,"Acetylcholinesterase, COesterase domain",10666
135,"Peroxisome proliferator-activated receptor alpha, Hormone_recep domain",10958
136,"Caspase-5, Peptidase_C14 domain",11090
137,"Cathepsin L2, Peptidase_C1 domain",12587
138,"Serine/threonine-protein kinase Sgk1, Pkinase domain",12718
139,"Carbonic anhydrase II, Carb_anhydrase domain",12877
140,"tRNA-guanine transglycosylase, TGT domain",17069
141,"cGMP-dependent protein kinase, Pkinase domain",20158
142,"N-acylsphingosine-amidohydrolase, CBAH domain",100194
143,"Holo-[acyl-carrieir-protein] synthase, ACPS domain",100218
144,"Free fatty acid receptor 1, 7tm_1 domain",100431
145,"Phospholipase A2 group 1B, Phospholip_A2_1 domain",100568
146,"Ectonucleoside triphosphate diphosphohydrolase 1, GDA1_CD39 domain",101303
147,"Aldo-keto reductase family 1 member C2, Aldo_ket_red domain",101351
148,"Lysosomal Pro-X carboxypeptidase, Peptidase_S28 domain",103560
149,"Neuropeptides B/W receptor type 1, 7tm_1 domain",103726
150,"Genome polyprotein, HCV_capsid domain",103738
151,"Neuraminidase, Neur domain",103876
152,"UDP-glucuronosyltransferase 1-6, UDPGT domain",104084
153,"Fatty acid desaturase 1, FA_desaturase domain",102680
154,"Adenosine A1 receptor, 7tm_1 domain",114
155,"Phosphodiesterase 3A, PDEase_I domain",170
156,"Glyoxalase I, Glyoxalase domain",10278
157,"Interleukin-8 receptor B, 7tm_1 domain",10773
158,"Protein kinase C epsilon, Pkinase domain",10879
159,"Protein kinase C nu, Pkinase domain",10885
160,"Progesterone receptor, Hormone_recep domain",36
161,"Cannabinoid CB2 receptor, 7tm_1 domain",10294
162,"Methionine aminopeptidase 1, Peptidase_M24 domain",10320
163,"Butyrylcholinesterase, COesterase domain",10532
164,"Sodium channel protein type II alpha subunit, Ion_trans domain",10559
165,"C-C chemokine receptor type 5, 7tm_1 domain",10580
166,"Neuronal acetylcholine receptor protein alpha-7 subunit, Neur_chan_LBD domain",10635
167,"Inhibitor of nuclear factor kappa B kinase alpha subunit, Pkinase domain",10751
168,"Myosin light chain kinase, smooth muscle, Pkinase domain",10856
169,"RNase L, Pkinase domain",11377
170,"Hepatocyte growth factor receptor, Pkinase_Tyr domain",11451
171,"Cyclin-dependent kinase 9, Pkinase domain",11626
172,"Adenosine A1 receptor, 7tm_1 domain",11806
173,"Fibroblast growth factor receptor 4, Pkinase_Tyr domain",11925
174,"Dopamine D4 receptor, 7tm_1 domain",12173
175,"Metabotropic glutamate receptor 7, ANF_receptor domain",12950
176,"Alpha-galactosidase A, Melibiase domain",17154
177,"Prostanoid EP4 receptor, 7tm_1 domain",20104
178,"Bradykinin B1 receptor, 7tm_1 domain",20109
180,"Vacuolar-type proton translocating pyrophosphatase 1, H_PPase domain",100312
181,"Mitogen-activated protein kinase kinase kinase 8, Pkinase domain",100414
182,"Rho-associated protein kinase 1, Pkinase domain",101003
183,"Sodium channel protein type X alpha subunit, Ion_trans domain",101093
184,"Chitinase B, Glyco_hydro_18 domain",101160
185,"Intestinal alkaline phosphatase, Alk_phosphatase domain",101293
186,"Transient receptor potential cation channel subfamily A member 1, Ion_trans domain",101412
187,"Aureobasidin-resistance protein, PAP2 domain",103827
188,"Carbonic anhydrase, Carb_anhydrase domain",103851
189,"Isocitrate lyase, ICL domain",103891
190,"Thymidylate synthase, Thymidylat_synt domain",104242
191,"Bcl-2-like protein 10, Bcl-2 domain",102637
192,"Legumain-like protease, Peptidase_C13 domain",102802
194,"Sodium/glucose cotransporter 2, SSF domain",102854
195,"Melanin-concentrating hormone receptor 1, 7tm_1 domain",102927
196,"Human immunodeficiency virus type 1 protease, RVP domain",191
197,"Gastrin releasing peptide receptor, 7tm_1 domain",11168
198,"Elastase 2A, Trypsin domain",11199
199,"Metabotropic glutamate receptor 5, ANF_receptor domain",11280
200,"Excitatory amino acid transporter 1, SDF domain",11560
201,"Fructose-1,6-bisphosphatase, FBPase domain",11603
202,"Tyrosine-protein kinase BLK, Pkinase_Tyr domain",11691
203,"cAMP-dependent protein kinase alpha-catalytic subunit, Pkinase domain",11969
204,"Matriptase, Trypsin domain",12725
205,"Voltage-gated N-type calcium channel alpha-1B subunit, Ion_trans domain",18058
206,"Serine/threonine-protein kinase D2, Pkinase domain",100415
209,"Amiloride-sensitive cation channel 3, ASC domain",100935
210,"Serine/threonine-protein kinase PRKX, Pkinase domain",101348
211,"Putative uncharacterized protein atpE, ATP-synt_C domain",103828
212,"L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase, tRNA-synt_1e domain",104108
213,"Chitinase, Glyco_hydro_18 domain",104199
214,"Dihydrofolate reductase, DHFR_1 domain",102564
215,"Ubiquitin carboxyl-terminal hydrolase isozyme L1, Peptidase_C12 domain",102792
216,"Sodium channel protein type 8 subunit alpha, Ion_trans domain",104371
217,"Nucleoside triphosphate diphosphohydrolase 3, GDA1_CD39 domain",102940
218,"72 kDa type IV collagenase, Peptidase_M10 domain",103118
219,"Transient receptor potential cation channel subfamily M member 8, Ion_trans domain",103167
220,"Oligopeptide transporter small intestine isoform, PTR2 domain",10561
221,"Beta secretase 2, Asp domain",10674
222,"Kynureninase, Aminotran_5 domain",10925
223,"Peroxisome proliferator-activated receptor delta, Hormone_recep domain",10960
224,"Matrix metalloproteinase 8, Peptidase_M10 domain",11110
225,"Estrogen receptor beta, Hormone_recep domain",12135
226,"Peroxisome proliferator-activated receptor delta, Hormone_recep domain",12227
227,"Dipeptidyl peptidase I, Peptidase_C1 domain",12396
228,"Matrix metalloproteinase 9, Peptidase_M10 domain",12592
229,"Protein kinase C theta, Pkinase domain",12665
230,"Monoamine oxidase A, Amino_oxidase domain",12921
231,"Aldose reductase, Aldo_ket_red domain",17058
232,"Plasmepsin 1, Asp domain",18044
233,"Phospholipase A2, Phospholip_A2_1 domain",20152
234,"Histamine H3 receptor, 7tm_1 domain",20166
235,"Cysteine protease falcipain-3, Peptidase_C1 domain",100452
236,"Alpha-L-fucosidase 1, Alpha_L_fucos domain",100591
237,"BR serine/threonine-protein kinase 2, Pkinase domain",100850
238,"11-beta-hydroxysteroid dehydrogenase type 1, adh_short domain",100959
239,"Hepatocyte growth factor receptor, Pkinase_Tyr domain",101245
240,"Transient receptor potential cation channel subfamily V member 4, Ion_trans domain",101451
241,"4-hydroxyphenylpyruvate dioxygenase, Glyoxalase domain",101586
242,"Efflux transporter, Multi_Drug_Res domain",103819
243,"Class C beta-lactamase CMY-36, Beta-lactamase domain",103820
244,"Extended-spectrum beta-lactamase PER-6, Beta-lactamase2 domain",103945
245,"Carbonic anhydrase, Carb_anhydrase domain",104205
246,"Vasopressin V1b receptor, 7tm_1 domain",12719
247,"G protein-coupled receptor 44, 7tm_1 domain",20174
248,"Tyrosine-protein kinase BTK, Pkinase_Tyr domain",100097
249,"Proto-oncogene tyrosine-protein kinase MER, Pkinase_Tyr domain",100948
250,"Acyl-CoA desaturase 1, FA_desaturase domain",101165
251,"Complement factor B, Trypsin domain",101521
252,"Cell division protein kinase 5, Pkinase domain",101596
253,"Adenosine deaminase, A_deaminase domain",14
254,"Inosine-5'-monophosphate dehydrogenase 2, IMPDH domain",68
255,"Type-1 angiotensin II receptor, 7tm_1 domain",115
256,"Peripheral-type benzodiazepine receptor, TspO_MBR domain",10292
257,"Beta-2 adrenergic receptor, 7tm_1 domain",43
258,"Retinoic acid receptor alpha, Hormone_recep domain",57
259,"Dopamine transporter, SNF domain",155
260,"Geranylgeranyl pyrophosphate synthetase, polyprenyl_synt domain",10108
261,"Type-1B angiotensin II receptor, 7tm_1 domain",10273
262,"Delta opioid receptor, 7tm_1 domain",10315
263,"rRNA adenine N-6-methyltransferase, RrnaAD domain",10463
264,"Insulin receptor, Pkinase_Tyr domain",10803
265,"Serine/threonine-protein kinase PIM1 , Pkinase domain",10839
266,"Steryl-sulfatase , Sulfatase domain",11267
267,"Heme oxygenase 1, Heme_oxygenase domain",11328
268,"ADAM17, Peptidase_M84 domain",11473
269,"Casein kinase I alpha, Pkinase domain",11720
271,"Metabotropic glutamate receptor 6, ANF_receptor domain",11056
272,"Glycine transporter 1, SNF domain",11117
273,"Aldose reductase, Aldo_ket_red domain",11251
274,"S-adenosylmethionine decarboxylase 1, SAM_decarbox domain",11431
275,"Microsomal triglyceride transfer protein large subunit, Vitellogenin_N domain",11452
276,"Steroid 5-alpha-reductase 2, Steroid_dh domain",11594
277,"Group IIF secretory phospholipase A2, Phospholip_A2_1 domain",12632
278,"Melanocortin receptor 1, 7tm_1 domain",12708
279,"Acetylcholinesterase, COesterase domain",17018
280,"Alpha-glucosidase MAL12, Alpha-amylase domain",17092
281,"Sodium/glucose cotransporter 1, SSF domain",18036
282,"Butyrylcholinesterase, COesterase domain",20168
283,"Lysophosphatidic acid receptor Edg-2, 7tm_1 domain",100435
284,"UDP-glucuronosyltransferase 2B17, UDPGT domain",100670
285,"G protein-coupled receptor 44, 7tm_1 domain",100817
286,"Mu opioid receptor, 7tm_1 domain",100044
287,"Serine/threonine-protein kinase ILK-1, Pkinase_Tyr domain",100104
288,"C-C chemokine receptor type 3, 7tm_1 domain",100137
289,"Glucose-dependent insulinotropic receptor, 7tm_1 domain",101132
290,"Type-2 restriction enzyme ScaI, RE_ScaI domain",101330
291,"Beta-lactamase 1, Beta-lactamase domain",101522
292,"Translocator protein, TspO_MBR domain",101532
293,"Type-1 angiotensin II receptor, 7tm_1 domain",101533
294,"UDP-glucuronosyltransferase 1-9, UDPGT domain",104087
295,"Sphingosine 1-phosphate receptor 1, 7tm_1 domain",104359
296,"Glycine receptor subunit alpha-2, Neur_chan_LBD domain",102689
298,"Undecaprenyl pyrophosphate synthase, Prenyltransf domain",102975
299,"Uracil nucleotide/cysteinyl leukotriene receptor, 7tm_1 domain",103101
300,"Coagulation factor X, Trypsin domain",194
301,"Alpha-2b adrenergic receptor, 7tm_1 domain",10364
302,"Matrix metalloproteinase-2, Peptidase_M10 domain",11108
303,"c-Jun N-terminal kinase 3, Pkinase domain",11408
304,"Protein kinase C beta, Pkinase domain",12133
305,"Matrix metalloproteinase-1, Peptidase_M10 domain",13000
306,"Sodium channel protein type X alpha subunit, Ion_trans domain",18080
307,"Luciferase, AMP-binding domain",100198
308,"beta-actin, Actin domain",100667
309,"Imipenem-hydrolyzing beta-lactamase, Beta-lactamase2 domain",100776
310,"Orotidine 5'-phosphate decarboxylase, OMPdecase domain",101286
311,"Phospholipase A2 alpha, Phospholip_A2_1 domain",101516
312,"3C-like protease, Peptidase_C30 domain",103740
313,"Inositol phosphorylceramide synthase, PAP2 domain",103825
314,"Thymidylate synthase, Thymidylat_synt domain",104224
315,"Leukotriene C4 synthase, MAPEG domain",104321
317,"Isocitrate lyase, ICL domain",102809
318,"Dual specificity protein kinase CLK4, Pkinase domain",102833
319,"Cathepsin B-like cysteine protease, Peptidase_C1 domain",102988
320,"Testosterone 17-beta-dehydrogenase 3, adh_short domain",103096
321,"DNA (cytosine-5)-methyltransferase 3B, DNA_methylase domain",102403
322,"Chorismate mutase-related protein, CM_2 domain",102874
323,"Beta-lactamase TEM, Beta-lactamase2 domain",13
324,"Adenosine A2a receptor, 7tm_1 domain",252
325,"Death-associated protein kinase 3, Pkinase domain",10051
326,"Vesicular acetylcholine transporter, MFS_1 domain",10948
327,"Voltage-gated L-type calcium channel alpha-1C subunit, Ion_trans domain",10513
328,"Prohormone convertase 2, Peptidase_S8 domain",10730
329,"Renin, Asp domain",11226
330,"Coagulation factor XII, Trypsin domain",11288
331,"Deoxycytidine kinase, dNK domain",11458
332,"Retinoid X receptor alpha, Hormone_recep domain",11558
333,"Sphingosine 1-phosphate receptor Edg-1 , 7tm_1 domain",11631
334,"Glutamate receptor ionotropic kainate 2, ANF_receptor domain",11762
336,"Histone deacetylase 5, Hist_deacetyl domain",12283
337,"DNA polymerase beta, DNA_pol_lambd_f domain",12511
338,"Dopamine D5 receptor, 7tm_1 domain",12755
339,"Ileal bile acid transporter, SBF domain",12909
340,"Progesterone receptor, Hormone_recep domain",17049
342,"Tyrosine-protein kinase TEC, Pkinase_Tyr domain",100418
343,"NAD-dependent deacetylase sirtuin 2, SIR2 domain",100447
344,"Farnesyl diphosphate synthase, polyprenyl_synt domain",100578
345,"Acyl-CoA desaturase, FA_desaturase domain",101234
346,"Diacylglycerol O-acyltransferase 1, MBOAT domain",101454
347,"Tyrosine-protein kinase transforming protein FPS, Pkinase_Tyr domain",101513
348,"Muscarinic acetylcholine receptor M1, 7tm_1 domain",10647
350,"Estrogen-related receptor beta, Hormone_recep domain",11254
351,"Anandamide amidohydrolase, Amidase domain",11289
352,"4-hydroxyphenylpyruvate dioxygenase, Glyoxalase domain",11607
353,"Adenosine A1 receptor, 7tm_1 domain",12512
354,"Serine/threonine-protein kinase AKT, Pkinase domain",12666
355,"Nociceptin receptor, 7tm_1 domain",12965
356,"Cathepsin D, Asp domain",17107
357,"3-dehydroquinate dehydratase , DHquinase_II domain",18038
358,"SARS coronavirus 3C-like proteinase, Peptidase_C30 domain",20012
359,"Cytochrome P450 2E1, p450 domain",20056
360,"3-dehydroquinate dehydratase , DHquinase_II domain",20064
361,"Beta-1,3-glucan synthase, Glucan_synthase domain",100235
362,"GABA receptor subunit, Neur_chan_LBD domain",100669
363,"C-X-C chemokine receptor type 3, 7tm_1 domain",100861
364,"Dual specificity protein phosphatase 6, DSPc domain",101005
365,"Ectonucleoside triphosphate diphosphohydrolase 2, GDA1_CD39 domain",101050
366,"P2X purinoceptor 7, P2X_receptor domain",101101
367,"Nuclear receptor subfamily 4 group A member 2, Hormone_recep domain",101254
368,"Elongation of very long chain fatty acids protein 3, ELO domain",101554
369,"Trace amine-associated receptor 1, 7tm_1 domain",104390
370,"Adenosine A3 receptor, 7tm_1 domain",102815
371,"Plasminogen, Trypsin domain",102850
372,"Dihydrofolate reductase, DHFR_1 domain",102873
373,"Cyclophilin A, Pro_isomerase domain",180
374,"Metabotropic glutamate receptor 3, ANF_receptor domain",10167
375,"Adenosine A1 receptor, 7tm_1 domain",10657
376,"Methionine aminopeptidase 2, Peptidase_M24 domain",10702
377,"CaM kinase I alpha, Pkinase domain",10970
378,"Thrombin, Trypsin domain",11
379,"Insulin receptor, Pkinase_Tyr domain",35
380,"Peroxisome proliferator-activated receptor gamma, Hormone_recep domain",133
382,"Dihydrofolate reductase, DHFR_1 domain",10095
383,"Dopamine D1 receptor, 7tm_1 domain",10304
384,"Cruzipain, Peptidase_C1 domain",10452
385,"Histone deacetylase 1, Hist_deacetyl domain",11205
386,"Sphingosine kinase 1, DAGK_cat domain",11882
387,"Caspase-9, Peptidase_C14 domain",12014
388,"Muscarinic acetylcholine receptor M2, 7tm_1 domain",12076
389,"Cytochrome P450 1A2, p450 domain",12594
390,"Carbonic anhydrase IX, Carb_anhydrase domain",12952
391,"Matrix metalloproteinase-2, Peptidase_M10 domain",13001
392,"Dual specificity phosphatase 22, DSPc domain",20008
393,"Erythromycin resistance protein, RrnaAD domain",100234
394,"Trace amine-associated receptor 1, 7tm_1 domain",100426
395,"Casein kinase I delta, Pkinase domain",100018
396,"Protein-arginine N-methyltransferase 1, Methyltransf_31 domain",100878
397,"D-amino-acid oxidase, DAO domain",101470
398,"Fe(3+)-Zn(2+) purple acid phosphatase, Metallophos domain",101498
399,"High affinity choline transporter 1, SSF domain",101560
400,"HTH-type transcriptional regulator EthR, TetR_N domain",104143
402,"Angiotensin-converting enzyme, Peptidase_M2 domain",69
403,"Platelet activating factor receptor, 7tm_1 domain",251
404,"Phosphodiesterase 6C, PDEase_I domain",11360
405,"Dual-specificity tyrosine-phosphorylation regulated kinase 1A, Pkinase domain",12090
406,"Human immunodeficiency virus type 2 integrase, rve domain",19636
407,"P-hydroxybenzoate hydroxylase , FAD_binding_3 domain",19661
408,"Dimethylarginine dimethylaminohydrolase 1, Amidinotransf domain",20019
409,"Tyrosine-protein kinase SYK, Pkinase_Tyr domain",100421
410,"Fatty acid transport protein 4, AMP-binding domain",100785
411,"Glutamate receptor ionotropic, AMPA 1, ANF_receptor domain",100001
412,"Insulin receptor, Pkinase_Tyr domain",101214
413,"Mitogen-activated protein kinase 8, Pkinase domain",101299
414,"Elongation of very long chain fatty acids protein 1, ELO domain",101406
415,"Cholinesterase, COesterase domain",101542
416,"Cathepsin E, Asp domain",103920
417,"Cytochrome P450c11B3, p450 domain",103932
418,"Endo-beta-N-acetylglucosaminidase, Glyco_hydro_85 domain",102550
419,"Pantothenate synthetase, Pantoate_ligase domain",102878
420,"A1 adenosine receptor, 7tm_1 domain",102981
421,"Tyrosyl-DNA phosphodiesterase 1, Tyr-DNA_phospho domain",103069
423,"Potassium voltage-gated channel subfamily B member 1, Ion_trans domain",102925
424,"Hemagglutinin, Hemagglutinin domain",103160
425,"Monoamine oxidase B, Amino_oxidase domain",104
426,"Oxytocin receptor, 7tm_1 domain",116
427,"Serotonin 7 (5-HT7) receptor, 7tm_1 domain",10022
428,"Metabotropic glutamate receptor 8, ANF_receptor domain",11281
429,"Kynurenine--oxoglutarate transaminase I , Aminotran_1_2 domain",11533
430,"Adenosine A2b receptor, 7tm_1 domain",11831
431,"Angiotensin-converting enzyme 2, Peptidase_M2 domain",11848
433,"Neuronal acetylcholine receptor protein alpha-4 subunit, Neur_chan_LBD domain",12019
434,"Dihydrofolate reductase, DHFR_1 domain",12409
435,"Receptor protein-tyrosine kinase erbB-4, Pkinase_Tyr domain",12699
436,"Type-1A angiotensin II receptor, 7tm_1 domain",12807
437,"Cholesterol esterase, COesterase domain",17071
438,"Tyrosine- and threonine-specific cdc2-inhibitory kinase, Pkinase domain",30033
439,"Lymphocyte differentiation antigen CD38, Rib_hydrolayse domain",100622
440,"Low molecular weight phosphotyrosine protein phosphatase, LMWPc domain",100627
441,"Serine/threonine-protein kinase c-TAK1, Pkinase domain",100140
442,"Beta-lactamase TEM-125, Beta-lactamase2 domain",101042
443,"Histidinol dehydrogenase, Histidinol_dh domain",101187
444,"Ribonuclease pancreatic, RnaseA domain",101442
445,"Cyclic nucleotide specific phosphodiesterase, PDEase_I domain",103914
446,"3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase, 3Beta_HSD domain",104109
447,"Dihydroorotate dehydrogenase, DHO_dh domain",12395
448,"Protein kinase C alpha , Pkinase domain",12454
449,"Tryptase beta-1, Trypsin domain",12703
450,"C-X-C chemokine receptor type 3, 7tm_1 domain",12825
451,"Gamma-hydroxybutyrate receptor, Tetraspannin domain",19600
452,"MAP kinase signal-integrating kinase 2, Pkinase domain",30037
453,"Apoptosis regulator Bcl-W, Bcl-2 domain",100476
454,"Cathepsin S, Peptidase_C1 domain",100671
455,"Serotonin N-acetyltransferase, Acetyltransf_1 domain",100004
456,"Tyrosine-protein kinase JAK3, Pkinase_Tyr domain",100083
457,"Quinolone resistance protein norA, MFS_1 domain",101071
458,"Cathepsin G, Trypsin domain",101479
459,"Uncharacterized protein Rv1284/MT1322, Pro_CA domain",101488
460,"Egl nine homolog 1, 2OG-FeII_Oxy_3 domain",101502
461,"Elongation of very long chain fatty acids protein 6, ELO domain",101509
462,"Glycine receptor subunit alpha-1, Neur_chan_LBD domain",102688
465,"Prostanoid IP receptor, 7tm_1 domain",143
466,"Kallikrein 2, Trypsin domain",10068
467,"Kallikrein 7, Trypsin domain",10069
468,"Prostanoid EP3 receptor, 7tm_1 domain",10329
469,"Prostanoid FP receptor, 7tm_1 domain",140
470,"Muscarinic acetylcholine receptor M5, 7tm_1 domain",215
471,"Deoxycytidine kinase, dNK domain",10087
472,"Tyrosine-protein kinase LCK, Pkinase_Tyr domain",10297
473,"Cyclooxygenase-1, An_peroxidase domain",10575
475,"Neuronal acetylcholine receptor subunit alpha-3, Neur_chan_LBD domain",11184
476,"Acyl coenzyme A:cholesterol acyltransferase 1, MBOAT domain",11203
477,"Phosphodiesterase 4D, PDEase_I domain",11359
